mode,scenario_id,intent_case_type,expected_action,predicted_action,expected_candidate_ids,predicted_candidate_ids,candidate_exact,root_exact,impact_exact
lexical_intent_graph,v10-intent-single_explicit-000,single_explicit,report,report,CAND-01,CAND-01|CAND-02|CAND-03|CAND-04,0,0,0
lexical_intent_graph,v10-intent-single_explicit-001,single_explicit,report,report,CAND-01,CAND-01|CAND-02|CAND-03|CAND-04,0,0,0
lexical_intent_graph,v10-intent-single_explicit-002,single_explicit,report,report,CAND-01,CAND-01|CAND-02|CAND-03|CAND-04,0,0,0
lexical_intent_graph,v10-intent-single_explicit-003,single_explicit,report,report,CAND-01,CAND-01|CAND-02|CAND-03|CAND-04,0,0,0
lexical_intent_graph,v10-intent-single_paraphrased-000,single_paraphrased,report,abstain,CAND-02,,0,0,0
lexical_intent_graph,v10-intent-single_paraphrased-001,single_paraphrased,report,abstain,CAND-02,,0,0,0
lexical_intent_graph,v10-intent-single_paraphrased-002,single_paraphrased,report,abstain,CAND-02,,0,0,0
lexical_intent_graph,v10-intent-single_paraphrased-003,single_paraphrased,report,abstain,CAND-02,,0,0,0
lexical_intent_graph,v10-intent-multi_intent-000,multi_intent,report,report,CAND-01|CAND-03,CAND-01|CAND-03|CAND-04,0,0,1
lexical_intent_graph,v10-intent-multi_intent-001,multi_intent,report,report,CAND-01|CAND-03,CAND-01|CAND-03|CAND-04,0,0,0
lexical_intent_graph,v10-intent-multi_intent-002,multi_intent,report,report,CAND-01|CAND-03,CAND-01|CAND-03|CAND-04,0,0,0
lexical_intent_graph,v10-intent-multi_intent-003,multi_intent,report,report,CAND-01|CAND-03,CAND-01|CAND-03|CAND-04,0,0,1
lexical_intent_graph,v10-intent-same_entity_distractor-000,same_entity_distractor,report,report,CAND-04,CAND-01|CAND-03|CAND-04,0,0,0
lexical_intent_graph,v10-intent-same_entity_distractor-001,same_entity_distractor,report,report,CAND-04,CAND-01|CAND-03|CAND-04,0,0,0
lexical_intent_graph,v10-intent-same_entity_distractor-002,same_entity_distractor,report,report,CAND-04,CAND-01|CAND-03|CAND-04,0,0,0
lexical_intent_graph,v10-intent-same_entity_distractor-003,same_entity_distractor,report,report,CAND-04,CAND-01|CAND-04,0,0,0
lexical_intent_graph,v10-intent-ambiguous_request-000,ambiguous_request,abstain,abstain,,,1,1,1
lexical_intent_graph,v10-intent-ambiguous_request-001,ambiguous_request,abstain,abstain,,,1,1,1
lexical_intent_graph,v10-intent-ambiguous_request-002,ambiguous_request,abstain,abstain,,,1,1,1
lexical_intent_graph,v10-intent-ambiguous_request-003,ambiguous_request,abstain,abstain,,,1,1,1
lexical_intent_graph,v10-intent-unmatched_request-000,unmatched_request,abstain,report,,CAND-01|CAND-04,0,0,0
lexical_intent_graph,v10-intent-unmatched_request-001,unmatched_request,abstain,report,,CAND-01|CAND-04,0,0,0
lexical_intent_graph,v10-intent-unmatched_request-002,unmatched_request,abstain,report,,CAND-01|CAND-04,0,0,0
lexical_intent_graph,v10-intent-unmatched_request-003,unmatched_request,abstain,report,,CAND-01|CAND-04,0,0,0
oracle_root_graph,v10-intent-single_explicit-000,single_explicit,report,report,CAND-01,CAND-01,1,1,1
oracle_root_graph,v10-intent-single_explicit-001,single_explicit,report,report,CAND-01,CAND-01,1,1,1
oracle_root_graph,v10-intent-single_explicit-002,single_explicit,report,report,CAND-01,CAND-01,1,1,1
oracle_root_graph,v10-intent-single_explicit-003,single_explicit,report,report,CAND-01,CAND-01,1,1,1
oracle_root_graph,v10-intent-single_paraphrased-000,single_paraphrased,report,report,CAND-02,CAND-02,1,1,1
oracle_root_graph,v10-intent-single_paraphrased-001,single_paraphrased,report,report,CAND-02,CAND-02,1,1,1
oracle_root_graph,v10-intent-single_paraphrased-002,single_paraphrased,report,report,CAND-02,CAND-02,1,1,1
oracle_root_graph,v10-intent-single_paraphrased-003,single_paraphrased,report,report,CAND-02,CAND-02,1,1,1
oracle_root_graph,v10-intent-multi_intent-000,multi_intent,report,report,CAND-01|CAND-03,CAND-01|CAND-03,1,1,1
oracle_root_graph,v10-intent-multi_intent-001,multi_intent,report,report,CAND-01|CAND-03,CAND-01|CAND-03,1,1,1
oracle_root_graph,v10-intent-multi_intent-002,multi_intent,report,report,CAND-01|CAND-03,CAND-01|CAND-03,1,1,1
oracle_root_graph,v10-intent-multi_intent-003,multi_intent,report,report,CAND-01|CAND-03,CAND-01|CAND-03,1,1,1
oracle_root_graph,v10-intent-same_entity_distractor-000,same_entity_distractor,report,report,CAND-04,CAND-04,1,1,1
oracle_root_graph,v10-intent-same_entity_distractor-001,same_entity_distractor,report,report,CAND-04,CAND-04,1,1,1
oracle_root_graph,v10-intent-same_entity_distractor-002,same_entity_distractor,report,report,CAND-04,CAND-04,1,1,1
oracle_root_graph,v10-intent-same_entity_distractor-003,same_entity_distractor,report,report,CAND-04,CAND-04,1,1,1
oracle_root_graph,v10-intent-ambiguous_request-000,ambiguous_request,abstain,abstain,,,1,1,1
oracle_root_graph,v10-intent-ambiguous_request-001,ambiguous_request,abstain,abstain,,,1,1,1
oracle_root_graph,v10-intent-ambiguous_request-002,ambiguous_request,abstain,abstain,,,1,1,1
oracle_root_graph,v10-intent-ambiguous_request-003,ambiguous_request,abstain,abstain,,,1,1,1
oracle_root_graph,v10-intent-unmatched_request-000,unmatched_request,abstain,abstain,,,1,1,1
oracle_root_graph,v10-intent-unmatched_request-001,unmatched_request,abstain,abstain,,,1,1,1
oracle_root_graph,v10-intent-unmatched_request-002,unmatched_request,abstain,abstain,,,1,1,1
oracle_root_graph,v10-intent-unmatched_request-003,unmatched_request,abstain,abstain,,,1,1,1
