model,mode,scenario_id,category,expected,predicted,false_positives,false_negatives,invalid_finding_count,parse_success,abstained,latency_ms
llama3.1:8b,hybrid_explainer,single-ae-r004-004,single_fault,AE-R004@wires[1],AE-R004@wires[1]; AE-R004@wires[3]; AE-R004@wires[5]; AE-R004@wires[7],AE-R004@wires[3]; AE-R004@wires[5]; AE-R004@wires[7],,0,True,False,210206.13129998674
llama3.1:8b,hybrid_explainer,single-ae-r005-001,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[2].requirement_ids; AE-R005@wires[3].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[5].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R005@wires[3].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[5].requirement_ids; AE-R005@wires[6].requirement_ids,,0,True,False,170734.90810001385
llama3.1:8b,hybrid_explainer,single-ae-r005-003,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[2].requirement_ids; AE-R005@wires[3].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[5].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R005@wires[3].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[5].requirement_ids; AE-R005@wires[6].requirement_ids,,0,True,False,165484.64829998557
llama3.1:8b,hybrid_explainer,single-ae-r005-004,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[2].requirement_ids; AE-R005@wires[3].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[5].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R005@wires[3].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[5].requirement_ids; AE-R005@wires[6].requirement_ids,,0,True,False,169664.62379999575
llama3.1:8b,llm_only,clean-000,clean,,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].source.component_id; AE-R004@wires[2].target.pin_id; AE-R005@wires[3].requirement_ids,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].source.component_id; AE-R004@wires[2].target.pin_id; AE-R005@wires[3].requirement_ids,,0,True,False,218612.3766999808
llama3.1:8b,llm_only,clean-001,clean,,AE-R001@components[0].part_number; AE-R002@components[2].id; AE-R003@wires[0].source.component_id; AE-R004@wires[2].target.pin_id; AE-R005@wires[3].requirement_ids,AE-R001@components[0].part_number; AE-R002@components[2].id; AE-R003@wires[0].source.component_id; AE-R004@wires[2].target.pin_id; AE-R005@wires[3].requirement_ids,,0,True,False,191478.25790001662
llama3.1:8b,llm_only,clean-002,clean,,AE-R003@components[0].pins[0]; AE-R004@wires[0],AE-R003@components[0].pins[0]; AE-R004@wires[0],,0,True,False,136557.79600000824
llama3.1:8b,llm_only,clean-003,clean,,AE-R001@components[0].part_number; AE-R002@components[2].id; AE-R003@wires[0].source.component_id; AE-R004@wires[2].target.component_id; AE-R005@wires[3].requirement_ids,AE-R001@components[0].part_number; AE-R002@components[2].id; AE-R003@wires[0].source.component_id; AE-R004@wires[2].target.component_id; AE-R005@wires[3].requirement_ids,,0,True,False,195273.57350001694
llama3.1:8b,llm_only,clean-004,clean,,AE-R001@components[0].part_number; AE-R002@components[2].id; AE-R003@wires[0].source.component_id; AE-R004@wires[3].source.pin_id; AE-R005@wires[5].requirement_ids,AE-R001@components[0].part_number; AE-R002@components[2].id; AE-R003@wires[0].source.component_id; AE-R004@wires[3].source.pin_id; AE-R005@wires[5].requirement_ids,,0,True,False,201615.8972000121
llama3.1:8b,llm_only,mixed-000,mixed_fault,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.component_id; AE-R005@wires[3].requirement_ids,AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.component_id; AE-R005@wires[3].requirement_ids,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,0,True,False,141631.07350000064
llama3.1:8b,llm_only,mixed-001,mixed_fault,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,AE-R003@wires[0].source.component_id; AE-R004@wires[1].source.component_id; AE-R005@wires[3].requirement_ids,AE-R003@wires[0].source.component_id; AE-R004@wires[1].source.component_id; AE-R005@wires[3].requirement_ids,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,0,True,False,134787.33080002712
llama3.1:8b,llm_only,mixed-002,mixed_fault,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R005@wires[2].requirement_ids,AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.component_id; AE-R005@wires[3].requirement_ids,AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.component_id; AE-R005@wires[3].requirement_ids,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R005@wires[2].requirement_ids,0,True,False,132006.530499988
llama3.1:8b,llm_only,mixed-003,mixed_fault,AE-R001@components[0].part_number; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].pins[2]; AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.pin_id; AE-R005@wires[3].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].pins[2]; AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.pin_id; AE-R005@wires[3].requirement_ids,AE-R001@components[0].part_number; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,0,True,False,175147.06230000593
llama3.1:8b,llm_only,mixed-004,mixed_fault,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id; AE-R004@wires[1],AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.component_id,AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.component_id,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id; AE-R004@wires[1],0,True,False,98269.28690000204
llama3.1:8b,llm_only,mixed-005,mixed_fault,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id,AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.component_id; AE-R005@wires[3].requirement_ids,AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.component_id; AE-R005@wires[3].requirement_ids,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id,0,True,False,122421.854300017
llama3.1:8b,llm_only,mixed-006,mixed_fault,AE-R002@components[1].id; AE-R004@wires[1],AE-R001@components[0].part_number; AE-R002@components[1].pins[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.pin_id; AE-R005@wires[3].requirement_ids,AE-R001@components[0].part_number; AE-R002@components[1].pins[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.pin_id; AE-R005@wires[3].requirement_ids,AE-R002@components[1].id; AE-R004@wires[1],0,True,False,179785.72399998666
llama3.1:8b,llm_only,mixed-007,mixed_fault,AE-R001@components[0].part_number; AE-R004@wires[1],AE-R003@components[0].pins[0]; AE-R004@wires[0],AE-R003@components[0].pins[0]; AE-R004@wires[0],AE-R001@components[0].part_number; AE-R004@wires[1],0,True,False,120927.23600001773
llama3.1:8b,llm_only,mixed-008,mixed_fault,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id,AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.component_id,AE-R003@wires[0].source.component_id; AE-R004@wires[2].source.component_id,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id,0,True,False,107283.97249997943
llama3.1:8b,llm_only,mixed-009,mixed_fault,AE-R001@components[0].part_number; AE-R004@wires[1],AE-R003@components[0].pins[0]; AE-R004@wires[0].source.component_id,AE-R003@components[0].pins[0]; AE-R004@wires[0].source.component_id,AE-R001@components[0].part_number; AE-R004@wires[1],0,True,False,107747.81669999356
llama3.1:8b,llm_only,single-ae-r001-000,single_fault,AE-R001@components[0].part_number,AE-R001@components[0].part_number; AE-R002@components[1].part_number; AE-R003@wires[0].source.component_id; AE-R004@wires[2].target.component_id; AE-R005@wires[3].requirement_ids,AE-R002@components[1].part_number; AE-R003@wires[0].source.component_id; AE-R004@wires[2].target.component_id; AE-R005@wires[3].requirement_ids,,0,True,False,222981.86259999056
llama3.1:8b,llm_only,single-ae-r001-001,single_fault,AE-R001@components[0].part_number,,,AE-R001@components[0].part_number,0,False,True,262759.4382999814
llama3.1:8b,llm_only,single-ae-r001-002,single_fault,AE-R001@components[0].part_number,AE-R001@components[0].part_number; AE-R002@components[4].part_number,AE-R002@components[4].part_number,,0,True,False,108221.1540999997
llama3.1:8b,llm_only,single-ae-r001-003,single_fault,AE-R001@components[0].part_number,AE-R001@components[0].part_number; AE-R002@components[1].part_number; AE-R003@wires[0].source.component_id; AE-R004@wires[2].target.component_id; AE-R005@wires[3].requirement_ids,AE-R002@components[1].part_number; AE-R003@wires[0].source.component_id; AE-R004@wires[2].target.component_id; AE-R005@wires[3].requirement_ids,,0,True,False,190911.4428999892
llama3.1:8b,llm_only,single-ae-r001-004,single_fault,AE-R001@components[0].part_number,,,AE-R001@components[0].part_number,0,False,True,275305.34190000617
llama3.1:8b,llm_only,single-ae-r002-000,single_fault,AE-R002@components[1].id,AE-R002@components[0].id; AE-R002@components[1].id; AE-R002@components[2].id; AE-R002@components[3].id; AE-R002@components[4].id; AE-R002@components[5].id; AE-R002@components[6].id; AE-R002@components[7].id,AE-R002@components[0].id; AE-R002@components[2].id; AE-R002@components[3].id; AE-R002@components[4].id; AE-R002@components[5].id; AE-R002@components[6].id; AE-R002@components[7].id,,0,True,False,273143.79299999564
llama3.1:8b,llm_only,single-ae-r002-001,single_fault,AE-R002@components[1].id,AE-R002@components[0].id; AE-R002@components[1].id,AE-R002@components[0].id,,0,True,False,103338.32129999064
llama3.1:8b,llm_only,single-ae-r002-002,single_fault,AE-R002@components[1].id,AE-R002@components[0].id; AE-R002@components[4].id,AE-R002@components[0].id; AE-R002@components[4].id,AE-R002@components[1].id,0,True,False,115500.34750002669
llama3.1:8b,llm_only,single-ae-r002-003,single_fault,AE-R002@components[1].id,AE-R002@components[0].id; AE-R002@components[1].id; AE-R002@components[2].id; AE-R002@components[3].id; AE-R002@components[4].id; AE-R002@components[5].id; AE-R002@components[6].id,AE-R002@components[0].id; AE-R002@components[2].id; AE-R002@components[3].id; AE-R002@components[4].id; AE-R002@components[5].id; AE-R002@components[6].id,,0,True,False,240631.0104999866
llama3.1:8b,llm_only,single-ae-r002-004,single_fault,AE-R002@components[1].id,AE-R002@components[0].id,AE-R002@components[0].id,AE-R002@components[1].id,0,True,False,63286.909699992975
llama3.1:8b,llm_only,single-ae-r003-000,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].source.pin_id,AE-R003@wires[0].source.pin_id,AE-R003@wires[0].target.pin_id,0,True,False,88876.35040000896
llama3.1:8b,llm_only,single-ae-r003-001,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].source.pin_id,AE-R003@wires[0].source.pin_id,AE-R003@wires[0].target.pin_id,0,True,False,86820.53719999385
llama3.1:8b,llm_only,single-ae-r003-002,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].source.pin_id,AE-R003@wires[0].source.pin_id,AE-R003@wires[0].target.pin_id,0,True,False,89854.08679998363
llama3.1:8b,llm_only,single-ae-r003-003,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].source.pin_id,AE-R003@wires[0].source.pin_id,AE-R003@wires[0].target.pin_id,0,True,False,76959.33890002198
llama3.1:8b,llm_only,single-ae-r003-004,single_fault,AE-R003@wires[0].target.pin_id,AE-R003@wires[0].source.component_id,AE-R003@wires[0].source.component_id,AE-R003@wires[0].target.pin_id,0,True,False,75446.64100001683
llama3.1:8b,llm_only,single-ae-r004-000,single_fault,AE-R004@wires[1],AE-R004@wires[0].source.component_id; AE-R004@wires[3].source.component_id,AE-R004@wires[0].source.component_id; AE-R004@wires[3].source.component_id,AE-R004@wires[1],0,True,False,105992.83179998747
llama3.1:8b,llm_only,single-ae-r004-001,single_fault,AE-R004@wires[1],AE-R004@wires[0].source.component_id; AE-R004@wires[3].source.component_id,AE-R004@wires[0].source.component_id; AE-R004@wires[3].source.component_id,AE-R004@wires[1],0,True,False,105695.35920000635
llama3.1:8b,llm_only,single-ae-r004-002,single_fault,AE-R004@wires[1],AE-R004@wires[0].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[5].source.component_id,AE-R004@wires[0].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[5].source.component_id,AE-R004@wires[1],0,True,False,155610.55800001486
llama3.1:8b,llm_only,single-ae-r004-003,single_fault,AE-R004@wires[1],AE-R004@wires[0].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[5].source.component_id,AE-R004@wires[0].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[5].source.component_id,AE-R004@wires[1],0,True,False,113836.51390002342
llama3.1:8b,llm_only,single-ae-r004-004,single_fault,AE-R004@wires[1],AE-R004@wires[0].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[5].source.component_id,AE-R004@wires[0].source.component_id; AE-R004@wires[3].source.component_id; AE-R004@wires[5].source.component_id,AE-R004@wires[1],0,True,False,133536.3176999963
llama3.1:8b,llm_only,single-ae-r005-000,single_fault,AE-R005@wires[2].requirement_ids,AE-R004@wires[4].source.component_id; AE-R005@wires[2].requirement_ids,AE-R004@wires[4].source.component_id,,0,True,False,110093.73140000389
llama3.1:8b,llm_only,single-ae-r005-001,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[0].requirement_ids; AE-R005@wires[2].requirement_ids,AE-R005@wires[0].requirement_ids,,0,True,False,115010.27810000232
llama3.1:8b,llm_only,single-ae-r005-002,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[0].requirement_ids; AE-R005@wires[2].requirement_ids,AE-R005@wires[0].requirement_ids,,0,True,False,108305.7073999953
llama3.1:8b,llm_only,single-ae-r005-003,single_fault,AE-R005@wires[2].requirement_ids,AE-R003@wires[3].source.pin_id; AE-R004@wires[3].source.component_id; AE-R005@wires[0].requirement_ids,AE-R003@wires[3].source.pin_id; AE-R004@wires[3].source.component_id; AE-R005@wires[0].requirement_ids,AE-R005@wires[2].requirement_ids,0,True,False,146154.24560001702
llama3.1:8b,llm_only,single-ae-r005-004,single_fault,AE-R005@wires[2].requirement_ids,AE-R005@wires[0].requirement_ids; AE-R005@wires[2].requirement_ids; AE-R005@wires[3].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[5].requirement_ids; AE-R005@wires[6].requirement_ids,AE-R005@wires[0].requirement_ids; AE-R005@wires[3].requirement_ids; AE-R005@wires[4].requirement_ids; AE-R005@wires[5].requirement_ids; AE-R005@wires[6].requirement_ids,,0,True,False,218857.58139999234
llama3.1:8b,retrieval_grounded,clean-000,clean,,AE-R001@components[3].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,AE-R001@components[3].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,,0,True,False,178872.35180000425
llama3.1:8b,retrieval_grounded,clean-001,clean,,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,,0,True,False,190194.86330001382
llama3.1:8b,retrieval_grounded,clean-002,clean,,AE-R001@components[0].pins[0]; AE-R002@components[0].pins[0]; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].pins[0]; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,,0,True,False,196153.90560001833
llama3.1:8b,retrieval_grounded,clean-003,clean,,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,,0,True,False,178362.2144999972
llama3.1:8b,retrieval_grounded,clean-004,clean,,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,,0,True,False,174845.18479998223
llama3.1:8b,retrieval_grounded,mixed-000,mixed_fault,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,AE-R001@components[1].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].target.component_id; AE-R004@wires[2].source.signal_class; AE-R005@wires[3].requirement_ids,AE-R001@components[1].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].target.component_id; AE-R004@wires[2].source.signal_class; AE-R005@wires[3].requirement_ids,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,0,True,False,157437.19140000758
llama3.1:8b,retrieval_grounded,mixed-001,mixed_fault,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,0,True,False,144572.03519999166
llama3.1:8b,retrieval_grounded,mixed-002,mixed_fault,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R005@wires[2].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].target.component_id; AE-R004@wires[2].source.signal_class; AE-R005@wires[3].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].target.component_id; AE-R004@wires[2].source.signal_class; AE-R005@wires[3].requirement_ids,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R005@wires[2].requirement_ids,0,True,False,152240.486900002
llama3.1:8b,retrieval_grounded,mixed-003,mixed_fault,AE-R001@components[0].part_number; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].pins[0]; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].pins[0]; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,AE-R001@components[0].part_number; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,0,True,False,166998.0655000254
llama3.1:8b,retrieval_grounded,mixed-004,mixed_fault,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id; AE-R004@wires[1],AE-R001@components[0].pins[1]; AE-R002@components[0].id; AE-R003@wires[0].target.component_id; AE-R004@wires[2].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R001@components[0].pins[1]; AE-R002@components[0].id; AE-R003@wires[0].target.component_id; AE-R004@wires[2].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id; AE-R004@wires[1],0,True,False,159601.09260000172
llama3.1:8b,retrieval_grounded,mixed-005,mixed_fault,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].target.component_id; AE-R004@wires[2].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].target.component_id; AE-R004@wires[2].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id,0,True,False,151830.19750000676
llama3.1:8b,retrieval_grounded,mixed-006,mixed_fault,AE-R002@components[1].id; AE-R004@wires[1],AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R002@components[1].id; AE-R004@wires[1],0,True,False,145523.11370000825
llama3.1:8b,retrieval_grounded,mixed-007,mixed_fault,AE-R001@components[0].part_number; AE-R004@wires[1],AE-R001@components[0].pins[0]; AE-R002@components[0].pins[0]; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].pins[0]; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,AE-R001@components[0].part_number; AE-R004@wires[1],0,True,False,177369.52730000485
